when	언제
it	그것은, 그것이
beautiful	아름다운
sure	확실한
an	하나의
will	(미래조동사)~일 것이다
put	두다
take	잡다, 가지고 가다, 섭취하다
oneself	자기자신의
run	달리다
say	말하다, ~라고 쓰여있다
hi	안녕하세요
than	~보다
he	그, 그는
hear	듣다
write	쓰다
oil	기름
on	~위에
small	작은
sky	하늘
again	다시
no	아니오
with	~와 함께
today	오늘
English	영어
can	~할 수 있다
not	~이 아닌
give	주다
his	(소유격)그의
live	살다
was	~이었다
speak	말하다
egg	알
make	만들다
then	그러면, 그때
back	뒤로, 등
here	여기
man	남자, 사람
world	세상
soon	곧
first	첫 번째의
right	오른쪽
call	부르다
before	이전에
is	~이다
this	이것, 이것은
begin	시작하다
time	시간, 횟수(-s)
of	~의, ~중에서
or	또는
for	~을 위해, ~을 향해
you	너, 너는, 너희들, 너희들은
too	~도 또한
Korea	한국
to	~에, ~까지
one	하나
study	공부하다
our	(소유격)우리의
much	많은
word	말, 단어
every	모든
see	~을 보다
after	~뒤에
really	정말
car	자동차
last	마지막의
get	얻다
walk	걷다
could	can의 과거 형
may	~일지 모른다
Mr.	(남자)~씨
very	매우
understand	이해하다
in	~에, ~안에
some	약간의, 어떤
think	생각하다
by	~의 옆에
me	(목적격)나를, 나에게
use	사용하다
something	무엇인가,아무것도
people	사람들
way	길
try	시도하다
about	~에 대하여, 약
day	날, 낮, 하루
so	그렇게, 매우
why	왜
morning	오전
become	~이 되다
kid	아이
just	바로
into	~안으로
your	(소유격)당신의
have	~을 가지다
away	떨어져서
read	읽다
only	유일한
all	모든
apple	사과
out	밖에
home	집
and	그리고, 그래서, ~과
many	많은
what	무엇
them	(목적격)그들을, 그들에게
name	이름
please	부디
were	are의 과거 형
find	찾다
also	또한
go	가다
there	거기, 거기에
now	지금
help	돕다
my	(소유격)나의
year	년도
lot	다수
but	그러나
girl	소녀
boy	소년
old	늙은
him	(목적격)그를, 그에게
father	아버지
because	왜냐하면
ours	우리의 것
sit	앉다
answer	답하다
hard	어려운
start	시작하다
school	학교
I	나, 나는, 내가
am	~이다
how	어떻게
play	놀다
child	어린이
new	새로운
friend	친구
which	어느 것
they	그들, 그것들, 그들은
as	~처럼
yes	예
family	가족
always	언제나
mother	어머니
next	다음
young	젊은
talk	말하다
sun	태양
like	좋아하다
at	~에서, ~때에
if	만일~면
work	일하다
never	결코 ~이 아니다
do	~을 하다
well	잘
would	will의 과거 형
are	~이다
who	누가
leave	떠나다
a	하나의, 한
their	(소유격)그들의
country	나라
from	~부터
window	창문
us	(목적격)우리를
good	좋은
her	(소유격)그녀의, (목적격)그녀를
stay	머무르다
up	위로
hit	치다
place	장소
she	그녀, 그녀는
look	보다
we	우리, 우리는
any	조금도
thing	물건, 일
teacher	선생님
Korean	한국의, 한국인
that	저것, 그것, 저것은
eat	먹다
big	큰
kind	친절
money	돈
ok	승인하다, 좋아
more	더 많은
the	그(정관사)
let	하게하다
other	다른
be	be동사 원형
little	작은
know	알다
student	학생
long	긴, 오래
visit	방문하다
come	오다
plant	식물
touch	만지다
prefer	선호하다
knife	칼, 나이프
smell	냄새, 냄새 맡다
army	육군, 군대
same	같은
limit	제한하다
death	죽음
less	~보다 적은
blow	바람이 불다
layer	층
race	경주
kick	~를 차다
according	~에 의하면
empty	비어있는
grow up	성인, 성장한
road	도로
door	문
carefully	주의 깊게
meat	고기
spend	돈을 소비하다
justice	정의
drop	떨어지다
television	텔레비전
population	marathon
waste	폐기물
lose	잃다
coffee	커피
alphabet	알파벳
easily	쉽게
zoo	동물원
athlete	운동선수
map	지도
American	미국인, 미국의
independence	독립, 독립심
cat	고양이
holiday	휴일
son	아들
airplane	비행기
laugh	웃다
museum	박물관
ski	스키
already	벌써, 이미
president	대통령
Friday	금요일
distance	거리
stream	개울
hotel	호텔
marathon	마라톤
uniform	제복
gym	체육관
bridge	다리
win	이기다
far	멀리
vegetable	채소
math	수학
painting	그림, 그림 그리기
sight	광경, 경치
pick	따다, 고르다
fear	두려움
part time	파트타임에
watch	시계
whose	누구의
fact	사실
abroad	외국으로
artist	예술가
bowl	볼
wall	담벼락
neither	어느 것도 아니다
receive	받다
cry	외치다, 울다
coat	코트
someone	누군가
mail	우편물, 우송하다
electric	전기의
sweater	스웨터
dish	접시
praise	칭찬하다
taste	맛, 취미
nurse	간호사
upstairs	위층으로
wisdom	지혜
waiter	웨이터
eye	눈
bedroom	침실
flame	불꽃
shape	모양
China	중국
case	경우,사건
orange	오렌지
between	~의 사이에
hardly	거의
nearby	가까이에
excuse	용서하다
smooth	매끄러운
each	각각의
park	공원, 주차하다
evening	저녁
soft	부드러운
cake	과자, 케이크
fee	요금
mouth	입
ocean	대양
communicate	전달하다, 알리다
history	역사
noise	소리, 시끄러운 소리
pass	지나가다
tonight	오늘밤
forget	잊다
fat	지방, 살찐
beside	~의 옆에
wave	물결, 물결치다
space	우주, 공간
classical	고전적인
sound	소리
cage	새장
blind	눈먼
skin	피부
planet	행성, (the -)지구
consist	~으로 이루어지다
pray	기도하다
bit	조금, 작은 조각
cold	추운
whom	누구를, 누구에게
adventure	모험
brush	솔
courage	용기
pair	한 쌍
stamp	우표
best	가장 좋은
cross	가로질러
cure	치료하다
trip	여행
sunlight	태양빛
wish	바라다, 소원
opera	오페라
season	계절
rest	쉬다, 휴식
trust	신용,신용하다
tree	나무
jungle	정글
tourist	관광객
June	6월
daughter	딸
tired	피곤한
hero	영웅
castle	성
battle	전투
yard	마당
blue	파란
prison	교도소
jet	제트기
worry	걱정하다
gather	모으다
pleasure	기쁨
sum	합계하다
glass	유리
north	북쪽
monument	기념비, 기념물
skill	기술
blood	피
area	지역
conductor	지휘자
melon	멜론
democracy	민주주의
happen	(일이)일어나다
photo	사진
month	월, 개월
these	이것들
mercy	자비
fire	불
sorry	미안
movement	행동
feed	먹을 것을 주다,기르다
etc.	~등
foreigner	외국인
check	확인하다
picture	그림
honor	명예
magazine	잡지
bathroom	욕실
noisy	시끄러운
although	비록~일지라도
lady	부인, 숙녀
exercise	운동, 연습
salt	소금
poison	독약
wolf	늑대
together	함께
pencil	연필
scene	장면, 광경
keep	유지하다
ahead	앞에
farm	농장
lazy	게으른
medicine	약
character	성격, 인격
important	중요한
twinkle	반짝이다
tennis	테니스
fool	바보
under	~아래에
since	~이래로
design	설계
third	세 번째
gentleman	신사
certainly	확실히
communication	공동체, 지역사회
capital	수도, 대문자
loose	헐렁한
tie	넥타이, 묶다
secret	비밀
giant	거인,거대한
until	~까지
prince	왕자
trap	덫, 함정
news	소식
the United States	미합중국
honest	정직한
though	~이기는 하지만
front	앞
while	~하는 동안
east	동쪽
yet	아직
rain	비
throw	던지다
conversation	회화
Greek	그리스의
office	사무소
camera	사진기
root	뿌리
proud	자랑스러운
forest	숲
furniture	가구
instance	사례
silver	은
Thursday	목요일
cover	덮다
cute	귀여운
movie	영화
law	법, 법률
result	결과
nest	보금자리
set	놓다, 해가지다
economy	경제
national	국민의, 국가의
citizen	시민
bless	축복하다
bird	새
without	~이 없이
mistake	결점, 잘못
pull	끌다, 잡아당기다
culture	문화
unusually	이상한
quiet	조용한
meal	식사
youth	젊음
cream	크림
bottom	밑바닥
mouse	입
game	게임
shake	흔들다
create	창조하다
add	더하다
player	선수
care	걱정, 돌봄
summer	여름
manner	태도, 예절
bookstore	서점
cleverly	영리한
hand	손
perhaps	아마도
spring	봄
cut	자르다
robot	로봇
lend	빌려주다
probably	아마
bell	종
crayon	크레용
Japan	일본
adult	어른
February	2월
wing	날개
goal	목표, 득점
grass	풀, 잔디
engineer	기술자
almost	거의
language	언어
turtle	거북
actually	실제로
pity	동정
machine	기계
burn	타다, 태우다
painter	화가
cup	잔
city	도시,시
main	주요한
clerk	사무원, 점원
speaker	말하는 사람
sometimes	가끔
cancer	암
breath	숨쉬다, 호흡하다
extra	여분의
tunnel	터널
pop	대중적인
future	미래의
effort	노력
breakfast	아침식사
course	과정
greet	인사하다
health	건강한
follow	따르다
market	시장
present	선물, 현재
pilot	조종사, 파일럿
thirsty	목마른
thousand	천(1000)
flight	비행
frog	개구리
dinner	만찬
congratulation	축하
handkerchief	손수건
fellow	동료
neighbor	이웃사람
rainstorm	폭풍우
lake	호수
idea	생각,관념
life	생명
captain	우두머리, 선장
grandmother	할머니
wander	헤매다
shoe	신발
talent	재능
kangaroo	캥거루
poor	가난한
lucky	운이 좋은
similar	비슷한
explain	설명하다
scenery	풍경
mark	기호, 점수
stand	서있다
speech	연설
mom	엄마
dollar	달러
gun	총
generally	일반적으로
boil	끓다
tomb	무덤
guide	안내하다
music	음악
mix	섞다
color	색깔
boat	배
relative	친척
finger	손가락
mild	온화한, 상냥한
till	언제까지
tea	차
temple	사원, 절
wet	젖은
everybody	모두
April	4월
bow	절하다
great	위대한
end	끝
anyway	어쨌든
team	팀
doubt	의심하다
survive	살아남다
system	체계
dog	개
calendar	달력
deal	거래하다
downstairs	아래층으로
America	미국
monkey	원숭이
should	~일 것이다
Monday	월요일
supper	저녁식사, 정찬
baby	갓난아이
marry	결혼하다
universe	우주
knock	두드리다, 노크
sports	운동
continue	계속하다
headache	두통
freedom	자유
bike	자전거
rice	쌀, 밥
cheap	값이 싼
instead	대신에
devil	악마
November	11월
its	그것의
different	다른
ache	아픔, 고통
flag	깃발
model	모형, 모범
glove	장갑
dining room	식당
German	독일의, 독일사람
collage	단과대학
French	프랑스
lesson	수업
society	사회
memorize	외우다, 기억하다
northern	북쪽의
arrive	도착하다
sailor	선원
foolish	어리석은
asleep	잠이 든
foot	발
cinema	영화
brave	용감한
bye	안녕
experiment	실험
coach	사륜마차, 코치
pond	연못
moon	달
business	사업, 일
government	정부
poem	시
horse	말
duck	오리
hello	안녕하세요
animal	동물
scalar	학자
rocket	로켓
bath	목욕
apartment	아파트
war	전쟁
perfect	마음에 드는, 아주 좋아하는
jewelry	보석
winter	겨울
grandfather	할아버지
feel	느끼다
smile	미소 짓다
theater	극장
anywhere	어디나
information	정보
pour	쏟다, 퍼붓다
spread	펼치다
snow	눈
build	짓다, 건축하다
invent	발명하다
attention	주의
ride	타다
popular	인기 있는
indoor	실내의
those	그들
idle	게으른
yours	당신의 것
king	왕
truth	진리, 진실
dream	꿈
natural	자연의
grape	포도
state	상태, 국가
weather	날씨
sightseeing	구경하다
hospital	병원
medal	매달, 훈장
number	수, 번호
cave	동굴
riving room	거실
past	과거의
worst	가장 나쁜
dad	아빠
divide	나누다
earth	지구
especially	특히
album	앨범
island	섬
nearly	거의
wake	깨다
maybe	아마
cloud	구름
ever	언젠가, 영원히
pen pal	펜팔
act	행동하다
